tag,value,type,label,label_cn,only_bj,use
amenity,arts_centre,node,poi-building,建筑,0,1
amenity,arts_centre,way,poi-building,建筑,0,1
amenity,bank,node,poi-building,建筑,0,1
amenity,bank,way,poi-building,建筑,0,1
amenity,bar,node,poi-building,建筑,0,1
amenity,bar,way,poi-building,建筑,0,1
amenity,cafe,way,poi-building,建筑,0,1
amenity,cafe,node,poi-building,建筑,0,1
amenity,cinema,way,poi-building,建筑,0,1
amenity,cinema,node,poi-building,建筑,0,1
amenity,clinic,node,poi-building,建筑,0,1
amenity,clinic,way,poi-building,建筑,0,1
amenity,college,way,poi-building,建筑,0,1
amenity,college,node,poi-building,建筑,0,1
amenity,fast_food,way,poi-building,建筑,0,1
amenity,fast_food,node,poi-building,建筑,0,1
amenity,ferry_terminal,node,poi-pier,码头,0,1
amenity,ferry_terminal,way,poi-pier,码头,0,1
amenity,hospital,way,poi-building,建筑,0,1
amenity,hospital,node,poi-building,建筑,0,1
amenity,kindergarten,node,poi-building,建筑,0,1
amenity,kindergarten,way,poi-building,建筑,0,1
amenity,library,way,poi-building,建筑,0,1
amenity,library,node,poi-building,建筑,0,1
amenity,marketplace,node,poi-building,建筑,0,1
amenity,marketplace,way,poi-building,建筑,0,1
amenity,parking,way,poi-parking,停车场,0,1
amenity,parking,node,poi-parking,停车场,0,1
amenity,pharmacy,node,poi-building,建筑,0,1
amenity,pharmacy,way,poi-building,建筑,0,1
amenity,police,node,poi-building,建筑,0,1
amenity,police,way,poi-building,建筑,0,1
amenity,post_office,way,poi-building,建筑,0,1
amenity,post_office,node,poi-building,建筑,0,1
amenity,public_building,node,poi-building,建筑,0,1
amenity,restaurant,way,poi-building,建筑,0,1
amenity,restaurant,node,poi-building,建筑,0,1
amenity,school,way,poi-building,建筑,0,1
amenity,school,node,poi-building,建筑,0,1
amenity,theatre,way,poi-building,建筑,0,1
amenity,theatre,node,poi-building,建筑,0,1
amenity,toilets,node,poi-building,建筑,0,1
amenity,toilets,way,poi-building,建筑,0,1
amenity,townhall,way,poi-building,建筑,0,1
amenity,townhall,node,poi-building,建筑,0,1
amenity,university,way,poi-building,建筑,0,1
amenity,university,node,poi-building,建筑,0,1
barrier,toll_booth,node,poi-toll_booth,收费站,0,1
barrier,toll_booth,way,poi-toll_booth,收费站,0,1
building,apartments,way,poi-building,建筑,0,1
building,apartments,node,poi-building,建筑,0,1
building,college,way,poi-building,建筑,0,1
building,commercial,way,poi-building,建筑,0,1
building,commercial,node,poi-building,建筑,0,1
building,dormitory,way,poi-building,建筑,0,1
building,greenhouse,way,poi-greenhouse,温室,0,1
building,hospital,way,poi-building,建筑,0,1
building,hospital,node,poi-building,建筑,0,1
building,industrial,way,poi-building,建筑,0,1
building,industrial,node,poi-building,建筑,0,1
building,office,way,poi-building,建筑,0,1
building,office,node,poi-building,建筑,0,1
building,residential,way,poi-building,建筑,0,1
building,residential,node,poi-building,建筑,0,1
building,retail,way,poi-building,建筑,0,1
building,retail,node,poi-building,建筑,0,1
building,roof,way,poi-building,建筑,0,1
building,roof,node,poi-building,建筑,0,1
building,school,way,poi-building,建筑,0,1
building,school,node,poi-building,建筑,0,1
building,university,way,poi-building,建筑,0,1
building,university,node,poi-building,建筑,0,1
highway,crossing,node,way-road,道路,0,1
highway,cycleway,way,way-road,道路,0,1
highway,footway,way,way-road,道路,0,1
highway,give_way,node,way-road,道路,0,1
highway,living_street,way,way-road,道路,0,1
highway,mini_roundabout,node,way-road,道路,0,1
highway,motorway,way,way-road,道路,0,1
highway,motorway_junction,node,way-road,道路,0,1
highway,motorway_link,way,way-road,道路,0,1
highway,path,way,way-road,道路,0,1
highway,pedestrian,way,way-road,道路,0,1
highway,primary,way,way-road,道路,1,1
highway,primary_link,way,way-road,道路,0,1
highway,residential,way,way-road,道路,1,1
highway,residential,node,way-road,道路,1,1
highway,road,way,way-road,道路,0,1
highway,secondary,way,way-road,道路,1,1
highway,secondary_link,way,way-road,道路,0,1
highway,service,way,way-road,道路,1,1
highway,services,node,way-road,道路,0,1
highway,services,way,way-road,道路,0,1
highway,tertiary,way,way-road,道路,1,1
highway,tertiary_link,way,way-road,道路,0,1
highway,track,way,way-road,道路,0,1
highway,trunk,way,way-road,道路,0,1
highway,trunk_link,way,way-road,道路,0,1
highway,turning_circle,node,way-road,道路,0,1
highway,unclassified,way,way-road,道路,1,1
junction,roundabout,way,way-road,道路,0,1
landuse,commercial,way,landuse-commercial,商业用地,0,1
landuse,commercial,node,landuse-commercial,商业用地,0,1
